Swimming teams  2017:,City,State,Division,Teams,Men,Women,In-State,Out of State,25%,75%,25%,75%,Rate,
Calvin College,Grand Rapids,MI,NCAA  III ,M,W,            -  ,            -  ,"31,730","31,730",530,670,23,30,74%
Eastern Michigan University,Ypsilanti,MI,NCAA  I,M,W,"   15,125","   16,807","11,209","27,702",443,580,19,25,75%
Grand Valley State University,Allendale,MI,NCAA  II ,M,W,"     6,517","     7,232","11,520","16,392",510,630,21,26,81%
Hillsdale College,Hillsdale,MI,NCAA II,,W,n/a,n/a,"25,522","25,522",580,660,27,31,50%
Hope College,Holland,MI,NCAA  III ,M,W,            -  ,            -  ,"31,560","31,560",550,670,24,29,72%
Kalamazoo College,Kalamazoo,MI,NCAA  III ,M,W,            -  ,            -  ,"44,857","44,857",,,,,72%
Michigan State University,East Lansing,MI,NCAA  I,M,W,"   21,157","   17,301","14,062","37,890",530,680,23,28,66%
Northern Michigan University,Marquette,MI,NCAA  II ,M,W,"     9,820","   10,436","9,766","15,262",450,580,19,24,70%
Oakland University,Rochester Hills,MI,NCAA  I,M,W,"   13,355","   13,299","12,064","24,540",490,590,20,26,80%
Olivet College,Olivet,MI,NCAA  III ,M,W,            -  ,            -  ,"25,560","25,560",370,590,17,22,57%
Saginaw Valley State University,University Center,MI,NCAA  II ,M,W,"     4,070","     5,622","9,345","21,947",,,19,25,76%
University of Michigan,Ann Arbor,MI,NCAA  I,M,W,"   27,238","   22,029","14,402","45,410",660,770,29,33,26%
Wayne State University,Detroit,MI,NCAA  II ,M,W,"     9,481","   10,500","12,269","26,220",,,20,26,80%
Augsburg College,Minneapolis,MN,NCAA  III ,,W,            -  ,            -  ,"36,415","36,415",450,560,19,25,59%
Carleton College,Northfield,MN,NCAA  III ,M,W,            -  ,            -  ,"50,874","50,874",660,770,29,33,21%
College of Saint Benedict,St. Joseph,MN,NCAA III,,W,            -  ,            -  ,"42,271","42,271",450,570,22,27,74%
Concordia College at Moorhead,Moorhead,MN,NCAA  III ,,W,            -  ,            -  ,"36,878","36,878",,,,,78%
Gustavus Adolphus College,Saint Peter,MN,NCAA  III ,M,W,            -  ,            -  ,"42,840","42,840",,,,,67%
Hamline University,Saint Paul,MN,NCAA  III ,M,W,            -  ,            -  ,"39,181","39,181",500,650,21,28,72%
Macalester College,Saint Paul,MN,NCAA  III ,M,W,            -  ,            -  ,"50,639","50,639",620,740,29,32,39%
Minnesota State University Moorhead,Moorhead,MN,NCAA  II ,,W,"     3,471","     2,563","8,114","15,250",481,570,20,25,77%
Minnesota State University-Mankato,Mankato,MN,NCAA  II ,,W,"     4,677","     4,932","7,858","15,602",,,20,24,67%
Saint Cloud State University,Saint Cloud,MN,NCAA  II ,M,W,"     3,950","     4,786","7,910","15,828",450,585,19,25,86%
Saint John's University,Collegeville,MN,NCAA III,M,,            -  ,            -  ,"41,732","41,732",450,581,23,28,74%
Saint Mary's University of Minnesota,Winona,MN,NCAA  III ,M,W,            -  ,            -  ,"32,575","32,575",423,548,19,26,78%
St Catherine University,Saint Paul,MN,NCAA  III ,,W,            -  ,            -  ,"36,820","36,820",485,545,19,25,67%
St Olaf College,Northfield,MN,NCAA  III ,M,W,            -  ,            -  ,"44,180","44,180",580,700,26,31,36%
University of Minnesota,Minneapolis,MN,NCAA  I,M,W,"   15,272","   13,368","14,142","23,806",620,740,26,31,45%
University of Minnesota-Morris,Morris,MN,NCAA  III ,,W,            -  ,            -  ,"12,846","14,846",510,640,22,28,60%
University of St Thomas,Saint Paul,MN,NCAA  III ,M,W,            -  ,            -  ,"39,594","39,594",510,620,24,29,84%
Drury University,Springfield,MO,NCAA  II ,M,W,"   11,652","   14,845","25,905","25,905",,,23,29,84%
Lindenwood University,Saint Charles,MO,NCAA  II ,M,W,"     3,506","     5,108","16,332","16,332",460,560,20,25,55%
Maryville University of Saint Louis,Saint Louis,MO,NCAA  II ,M,W,"     8,107","     7,632","27,958","27,958",,,23,27,72%
Missouri State University,Springfield,MO,NCAA  I,M,W,"   10,241","   10,216","7,060","14,110",468,613,21,26,86%
Missouri Univ of Science & Technology,Rolla,MO,NCAA  II ,M,,"     6,822","     9,008","9,057","25,173",560,640,25,31,88%
Saint Louis University,Saint Louis,MO,NCAA  I,M,W,"   15,738","   17,852","40,726","40,726",560,680,25,31,63%
Truman State University,Kirksville,MO,NCAA  II ,M,W,"     3,105","     3,637","7,456","13,940",560,680,25,30,79%
University of Missouri,Columbia,MO,NCAA  I,M,W,"   18,523","   21,495","9,518","25,892",530,650,24,29,78%
University of Missouri-St Louis,Saint Louis,MO,NCAA  II ,M,W,"     9,374","   14,470","9,394","24,525",,,21,27,76%
Washington University in St Louis,Saint Louis,MO,NCAA  III ,M,W,            -  ,            -  ,"49,770","49,770",710,790,32,34,17%
William Jewell College,Liberty,MO,NCAA  II ,M,W,"     9,881","   10,903","32,930","32,930",490,620,23,28,49%
Delta State University,Cleveland,MS,NCAA  II ,M,W,"     4,029","     3,234","6,418","6,418",470,560,18,23,87%
Barton College,Wilson,NC,NCAA  II ,M,W,"     6,204","     7,516","29,052","29,052",430,540,18,23,42%
Campbell University,Buies Creek,NC,NCAA  I,,W,"     8,398","   23,407","30,050","30,050",460,560,19,24,73%
Catawba College,Salisbury,NC,NCAA  II ,M,W,"     7,724","     9,401","29,333","29,333",440,560,18,24,32%
Chowan University,Murfreesboro,NC,NCAA  II ,,W,"     7,052","     7,659","23,930","23,930",350,430,14,17,62%
Davidson College,Davidson,NC,NCAA  I,M,W,"     7,192","     9,780","48,376","48,376",630,720,29,32,22%
Duke University,Durham,NC,NCAA  I,M,W,"   29,597","   33,141","51,265","51,265",690,790,31,34,11%
East Carolina University,Greenville,NC,NCAA  I,M,W,"   18,523","   18,497","6,997","22,955",500,570,21,24,69%
Gardner-Webb University,Boiling Springs,NC,NCAA  I,M,W,"   16,049","   15,844","29,810","29,810",430,550,18,24,53%
Greensboro College,Greensboro,NC,NCAA  III ,M,W,            -  ,            -  ,"28,000","28,000",400,510,16,20,75%
Guilford College,Greensboro,NC,NCAA  III ,,W,            -  ,            -  ,"34,090","34,090",,,,,63%
Lenoir-Rhyne University,Hickory,NC,NCAA  II ,M,W,"     7,946","   11,104","33,730","33,730",440,550,,,84%
Mars Hill University,Mars Hill,NC,NCAA  II ,M,W,"     5,117","     5,686","30,534","30,534",410,500,17,22,61%
North Carolina State University ,Raleigh,NC,NCAA  I,M,W,"   18,924","   23,744","8,880","26,399",590,680,26,31,50%
Pfeiffer University,Misenheimer,NC,NCAA  II ,,W,"     6,815","     7,790","28,995","28,995",400,530,17,22,47%
Queens University of Charlotte,Charlotte,NC,NCAA  II ,M,W,"   11,428","   11,244","32,560","32,560",470,570,21,26,67%
St Andrews University,Laurinburg,NC,NAIA  ,M,W,"     8,009","     4,653","25,874","25,874",410,520,17,22,57%
Univ of North Carolina at Asheville,Asheville,NC,NCAA  I,,W,"     8,353","     9,744","6,977","23,372",520,610,23,28,79%
Univ of North Carolina at Pembroke,Pembroke,NC,NCAA  II ,,W,"     3,401","     5,190","5,816","16,760",420,500,18,22,74%
Univ of North Carolina Wilmington,Wilmington,NC,NCAA  I,M,W,"     8,650","     7,449","6,951","20,920",560,630,23,27,61%
University of North Carolina ,Chapel Hill,NC,NCAA  I,M,W,"   19,443","   18,390","8,834","33,916",620,720,28,33,31%
Warren Wilson College,Swannanoa,NC,USCAA,M,W,            -  ,            -  ,"33,970","33,970",470,590,21,28,84%
William Peace University,Raleigh,NC,NCAA  III ,M,W,,            -  ,"27,080","27,080",380,490,15,21,50%
Wingate University,Wingate,NC,NCAA  II ,M,W,"     8,302","   10,671","29,170","29,170",470,570,20,25,70%
University of Mary,Bismarck,ND,NCAA  II ,,W,"     5,906","     8,154","17,445","17,445",460,580,20,26,96%
College of Saint Mary,Omaha,NE,NAIA ,,W,n/a,n/a,"29,954","29,954",,,,,61%
Midland University,Fremont,NE,NAIA  ,M,W,"   12,739","   12,921","30,430","30,430",407,510,18,23,61%
Nebraska Wesleyan University,Lincoln,NE,NCAA  III ,M,W,            -  ,            -  ,"31,394","31,394",510,600,22,27,79%
University of Nebraska,Lincoln,NE,NCAA  I,,W,"   18,442","   18,601","8,537","23,058",500,660,22,28,76%
University of Nebraska at Kearney,Kearney,NE,NCAA  II ,,W,"     3,043","     3,866","6,844","12,268",420,530,20,25,85%
University of Nebraska at Omaha,Omaha,NE,NCAA  I,,W,"     7,062","     5,211","7,204","19,124",453,610,19,26,76%
Colby-Sawyer College,New London,NH,NCAA  III ,M,W,            -  ,            -  ,"39,450","39,450",,,,,90%
Dartmouth College,Hanover,NH,NCAA  I,M,W,            -  ,            -  ,"51,438","51,438",670,780,30,34,11%
Franklin Pierce University,Rindge,NH,NCAA  II ,,W,"     3,084","     4,860","34,050","34,050",410,520,19,23,80%
Keene State College,Keene,NH,NCAA  III ,M,W,            -  ,            -  ,"13,613","21,997",440,550,19,24,79%
Plymouth State University,Plymouth,NH,NCAA  III ,,W,            -  ,            -  ,"13,472","21,732",,,,,74%
University of New Hampshire,Durham,NH,NCAA  I,,W,"   16,462","   18,541","17,624","31,424",500,610,22,27,79%
College of New Jersey,Ewing,NJ,NCAA  III ,M,W,            -  ,            -  ,"15,794","26,971",570,670,26,30,49%
Drew University,Madison,NJ,NCAA  III ,M,W,            -  ,            -  ,"48,052","48,052",,,,,70%
Fairleigh Dickinson University - Florham,Madison,NJ,NCAA  III ,M,W,            -  ,            -  ,"40,234","40,234",460,570,20,25,83%
Kean University,Union,NJ,NCAA  III ,,W,,            -  ,"11,870","18,637",430,520,17,21,74%
Monmouth University,West Long Branch,NJ,NCAA  I,M,W,"   16,098","   15,877","35,364","35,364",470,550,20,25,74%
Montclair State University,Montclair,NJ,NCAA  III ,M,W,            -  ,            -  ,"12,116","20,007",,,,,70%
New Jersey Institute of Technology,Newark,NJ,NCAA  I,M,,"   11,124","   23,739","16,430","31,034",590,680,23,29,61%
Princeton University,Princeton,NJ,NCAA  I,M,W,            -  ,            -  ,"45,320","45,320",700,800,32,35,7%
Ramapo College of New Jersey,Mahwah,NJ,NCAA  III ,M,W,            -  ,            -  ,"13,870","22,870",500,610,20,26,53%
Rider University,Lawrenceville,NJ,NCAA  I,M,W,"   10,042","   11,778","39,820","39,820",460,560,19,25,69%
Rowan University,Glassboro,NJ,NCAA  III ,M,W,            -  ,            -  ,"13,108","21,378",480,610,,,71%
Rutgers University,New Brunswick,NJ,NCAA  I,,W,"   20,319","   19,506","14,372","30,023",580,700,,,58%
Saint Peter's University,Jersey City,NJ,NCAA  I,M,W,"   13,269","   16,433","35,192","35,192",420,515,16,21,67%
Seton Hall University,South Orange,NJ,NCAA  I,M,W,"   21,037","   28,630","39,258","39,258",540,620,23,27,76%
Stevens Institute of Technology,Hoboken,NJ,NCAA  III ,M,W,            -  ,            -  ,"48,838","48,838",650,745,29,32,44%
William Paterson University ,Wayne,NJ,NCAA  III ,M,W,            -  ,            -  ,"12,574","20,466",460,540,,,74%
New Mexico State University,Las Cruces,NM,NCAA  I,,W,"   21,323","   14,699","6,094","19,652",430,540,18,24,66%
University of New Mexico,Albuquerque,NM,NCAA  I,,W,"   18,767","   18,476","7,340","21,929",470,600,19,25,58%
University of Nevada,Reno,NV,NCAA  I,,W,"   18,356","   16,317","7,142","21,052",490,600,21,26,79%
University of Nevada-Las Vegas,Las Vegas,NV,NCAA  I,M,W,"   19,753","   18,141","7,183","21,093",450,560,18,25,88%
Adelphi University,Garden City,NY,NCAA  II ,M,W,"     9,791","   10,514","35,740","35,740",510,620,19,25,72%
Alfred University,Alfred,NY,NCAA  III ,M,W,            -  ,            -  ,"27,078","27,078",470,580,21,28,68%
Bard College,Annandale,NY,NCAA  III ,M,W,            -  ,            -  ,"51,384","51,384",,,,,32%
Canisius College,Buffalo,NY,NCAA  I,M,W,         538,         571,"35,424","35,424",480,600,21,27,87%
Cazenovia College,Cazenovia,NY,NCAA  III ,M,W,            -  ,            -  ,"32,674","32,674",,,,,81%
Clarkson University,Potsdam,NY,NCAA  III ,M,W,            -  ,            -  ,"46,132","46,132",560,660,24,30,68%
Colgate University,Hamilton,NY,NCAA  I,M,W,"   20,662","   20,074","51,955","51,955",630,730,30,33,27%
College of Mount Saint Vincent,Bronx,NY,NCAA  III ,M,W,            -  ,            -  ,"35,130","35,130",400,490,18,22,86%
College of New Rochelle,New Rochelle,NY,NCAA  III ,,W,            -  ,            -  ,"34,960","34,960",420,500,20,23,73%
College of Saint Rose,Albany,NY,NCAA  II ,M,W,"     7,481","     9,698","30,692","30,692",,,,,82%
Columbia University ,New York,NY,NCAA  I,M,W,            -  ,            -  ,"55,056","55,056",690,790,31,35,7%
Cornell University,Ithaca,NY,NCAA  I,M,W,            -  ,            -  ,"50,953","50,953",680,780,30,34,15%
CUNY Baruch College,New York,NY,NCAA  III ,M,W,            -  ,            -  ,"6,810","13,920",600,690,,,32%
CUNY Brooklyn College,Brooklyn,NY,NCAA  III ,M,W,            -  ,            -  ,"6,838","13,948",530,630,,,37%
CUNY College of Staten Island ,Staten Island,NY,NCAA  III ,M,W,            -  ,            -  ,"6,890","14,000",,,,,98%
CUNY Hunter College,New York,NY,NCAA  III ,,W,            -  ,            -  ,"6,782","13,892",550,640,,,
CUNY John Jay College of Criminal Justice,New York,NY,NCAA  III ,,W,            -  ,            -  ,"6,810","13,920",460,540,,,37%
CUNY Lehman College,Bronx,NY,NCAA  III ,M,W,            -  ,            -  ,"6,812","13,922",480,560,,,30%
CUNY Queens College,Queens,NY,NCAA  II ,M,W,"     3,973","     5,229","6,938","14,048",530,620,,,40%
CUNY York College,Jamaica,NY,NCAA  III ,M,W,            -  ,            -  ,"6,748","13,858",410,500,,,40%
Fordham University,Bronx,NY,NCAA  I,M,W,"   24,226","   26,614","49,073","49,073",590,680,27,31,48%
Hamilton College,Clinton,NY,NCAA  III ,M,W,            -  ,            -  ,"51,240","51,240",,,,,25%
Hartwick College,Oneonta,NY,NCAA  III ,M,W,            -  ,            -  ,"42,860","42,860",,,,,81%
Hobart William Smith Colleges,Geneva,NY,NCAA  III ,,W,            -  ,            -  ,"51,559","51,559",,,,,56%
Iona College,New Rochelle,NY,NCAA  I,M,W,"   11,878","   11,913","36,584","36,584",440,550,20,25,91%
Ithaca College,Ithaca,NY,NCAA  III ,M,W,            -  ,            -  ,"41,776","41,776",,,,,67%
Le Moyne College,Syracuse,NY,NCAA  II ,M,W,"     7,214","     7,732","33,030","33,030",500,590,21,25,62%
LIU Brooklyn,Brooklyn,NY,NCAA  I,,W,"   24,572","   35,366","36,256","36,256",,,,,91%
LIU Post,Brookville,NY,NCAA  II ,,W,"   12,799","   14,867","36,256","36,256",460,560,19,24,81%
Manhattan College,Riverdale,NY,NCAA  I,M,W,"   13,565","   16,426","40,004","40,004",500,610,22,27,67%
Marist College,Poughkeepsie,NY,NCAA  I,M,W,"     5,890","     8,156","35,210","35,210",,,,,45%
Mount Saint Mary College,Newburgh,NY,NCAA  III ,M,W,            -  ,            -  ,"29,048","29,048",430,530,20,24,90%
Nazareth College,Rochester,NY,NCAA  III ,M,W,            -  ,            -  ,"32,649","32,649",,,,,76%
New York University,New York,NY,NCAA  III ,M,W,            -  ,            -  ,"49,062","49,062",630,750,29,32,32%
Niagara University,Niagara University,NY,NCAA  I,M,W,"   13,856","   14,039","30,950","30,950",470,570,20,25,85%
Pace University-New York,New York,NY,NCAA  II ,M,W,"   12,123","   10,646","42,772","42,772",470,580,21,26,84%
Rensselaer Polytechnic Institute,Troy,NY,NCAA  III ,M,W,            -  ,            -  ,"50,797","50,797",670,770,28,32,42%
Roberts Wesleyan College,Rochester,NY,NCAA  II ,M,W,"     4,895","     5,010","29,540","29,540",470,590,20,26,66%
Rochester Institute of Technology,Rochester,NY,NCAA  III ,M,W,            -  ,            -  ,"38,568","38,568",580,680,26,31,57%
Saint Joseph's College-Long Island,Patchogue,NY,NCAA  III ,,W,            -  ,            -  ,"25,114","25,114",460,560,19,24,68%
Saint Joseph's College-New York,Brooklyn,NY,NCAA  III ,M,W,            -  ,            -  ,"25,114","25,114",460,560,19,24,68%
Sarah Lawrence College,Bronxville,NY,NCAA  III ,M,W,            -  ,            -  ,"52,550","52,550",,,,,53%
Siena College,Loudonville,NY,NCAA  I,,W,"   12,761","   15,806","34,611","34,611",,,,,76%
Skidmore College,Saratoga Springs,NY,NCAA  III ,M,W,            -  ,            -  ,"50,834","50,834",560,673,26,30,36%
St Bonaventure University,Saint Bonaventure,NY,NCAA  I,M,W,"   12,313","   13,030","32,331","32,331",470,590,21,27,66%
St Francis College,Brooklyn Heights,NY,NCAA  I,M,W,"   12,445","   15,200","25,300","25,300",400,500,17,22,79%
St Lawrence University,Canton,NY,NCAA  III ,M,W,            -  ,            -  ,"51,200","51,200",,,,,46%
Stony Brook University,Stony Brook,NY,NCAA  I,,W,"   15,284","   16,445","8,999","26,239",600,720,26,31,41%
SUNY at Binghamton,Vestal,NY,NCAA  I,M,W,"     9,437","   12,652","9,271","24,351",630,703,27,31,42%
SUNY at Fredonia,Fredonia,NY,NCAA  III ,M,W,            -  ,            -  ,"8,089","17,939",460,580,21,26,59%
SUNY at New Paltz,New Paltz,NY,NCAA  III ,M,W,            -  ,            -  ,"7,754","17,604",515,600,23,27,42%
SUNY at Purchase College,Purchase,NY,NCAA  III ,M,W,            -  ,            -  ,"8,298","18,148",470,570,22,27,41%
SUNY Buffalo State,Buffalo,NY,NCAA  III ,M,W,            -  ,            -  ,"7,701","17,551",400,500,16,22,62%
SUNY College at Brockport,Brockport,NY,NCAA  III ,M,W,            -  ,            -  ,"7,928","17,778",470,570,20,25,53%
SUNY College at Cobleskill,Cobleskill,NY,NCAA  III ,M,W,            -  ,            -  ,"7,929","17,779",370,500,16,22,73%
SUNY College at Cortland,Cortland,NY,NCAA  III ,M,W,            -  ,            -  ,"8,106","17,956",,,,,51%
SUNY College at Delhi,Delhi,NY,NAIA  ,M,W,            -  ,            -  ,"7,875","12,245",,,,,54%
SUNY College at Geneseo,Geneseo,NY,NCAA  III ,M,W,            -  ,            -  ,"8,176","18,026",550,650,25,29,73%
SUNY College at Old Westbury,Old Westbury,NY,NCAA  III ,M,W,            -  ,            -  ,"7,683","17,533",450,550,,,50%
SUNY College at Oswego,Oswego,NY,NCAA  III ,M,W,            -  ,            -  ,"7,961","17,811",510,600,22,26,51%
SUNY College at Potsdam,Potsdam,NY,NCAA  III ,M,W,            -  ,            -  ,"7,964","17,814",,,,,74%
SUNY College of Technology at Alfred,Alfred,NY,NCAA  III ,M,W,            -  ,            -  ,"8,075","14,635",460,580,18,24,57%
SUNY Maritime College,Throggs Neck,NY,NCAA  III ,M,W,            -  ,            -  ,"7,834","17,684",530,610,22,26,68%
SUNY Oneonta,Oneonta,NY,NCAA  III ,M,W,            -  ,            -  ,"7,932","17,782",510,590,22,25,49%
U.S. Military Academy,West Point,NY,NCAA  I,M,W, full ride! , full ride! ,-0-,-0-,610,710,26,31,10%
Union College,Schenectady,NY,NCAA  III ,M,W,            -  ,            -  ,"51,696","51,696",,,,,38%
University at Buffalo,Buffalo,NY,NCAA  I,,W,"   17,932","   15,231","9,574","26,814",550,650,24,29,60%
University of Rochester,Rochester,NY,NCAA  III ,M,W,            -  ,            -  ,"50,142","50,142",,,,,34%
US Merchant Marine Academy,Kings Point,NY,NCAA  III ,M,W,            -  ,            -  ,"1,167","1,167",620,640,,,22%
Utica College,Utica,NY,NCAA  III ,M,W,            -  ,            -  ,"19,996","19,996",,,,,83%
Vassar College,Poughkeepsie,NY,NCAA  III ,M,W,            -  ,            -  ,"53,090","53,090",660,740,30,33,26%
Wagner College,Staten Island,NY,NCAA  I,,W,"   14,365","   19,322","43,980","43,980",,,,,68%
Wells College,Aurora,NY,NCAA  III ,M,W,            -  ,            -  ,"38,530","38,530",450,540,21,25,63%
Ashland University,Ashland,OH,NCAA  II ,M,W,"     5,197","     6,292","20,392","20,392",460,540,20,25,77%
Baldwin Wallace University,Berea,OH,NCAA  III ,M,W,            -  ,            -  ,"30,776","30,776",,,,,60%
Bowling Green State University,Bowling Green,OH,NCAA  I,,W,"   17,564","   13,495","11,057","18,593",450,580,19,24,73%
Case Western Reserve University,Cleveland,OH,NCAA  III ,M,W,            -  ,            -  ,"46,006","46,006",680,770,30,33,36%
Cleveland State University,Cleveland,OH,NCAA  I,M,W,"   10,351","   13,078","9,768","13,819",450,580,19,25,64%
College of Wooster,Wooster,OH,NCAA  III ,M,W,            -  ,            -  ,"46,860","46,860",560,680,25,30,55%
Denison University,Granville,OH,NCAA  III ,M,W,            -  ,            -  ,"48,960","48,960",,,,,48%
Franciscan University of Steubenville,Steubenville,OH,NCAA  III ,,W,            -  ,            -  ,"25,680","25,680",520,620,23,28,79%
Hiram College,Hiram,OH,NCAA  III ,M,W,            -  ,            -  ,"33,040","33,040",430,578,20,27,58%
John Carroll University,University Hgts,OH,NCAA  III ,M,W,            -  ,            -  ,"38,490","38,490",500,600,22,28,82%
Kenyon College,Gambier,OH,NCAA  III ,M,W,            -  ,            -  ,"51,200","51,200",610,690,28,32,26%
Malone University,Canton,OH,NCAA  II ,M,W,"     8,035","     8,175","29,422","29,422",458,550,19,25,69%
Miami University,Oxford,OH,NCAA  I,M,W,"   20,493","   15,589","14,736","32,555",590,690,26,30,65%
Notre Dame College,Cleveland,OH,NCAA  II ,M,W,"     6,069","     5,837","28,300","28,300",380,483,17,21,91%
Oberlin College,Oberlin,OH,NCAA  III ,M,W,            -  ,            -  ,"52,002","52,002",620,710,29,32,29%
Ohio Northern University,Ada,OH,NCAA  III ,M,W,            -  ,            -  ,"29,820","29,820",530,640,23,28,69%
Ohio State University,Columbus,OH,NCAA  I,M,W,"   16,338","   18,682","10,037","28,229",610,720,27,31,49%
Ohio University,Athens,OH,NCAA  I,,W,"   20,366","   20,120","11,744","21,208",500,610,22,26,74%
Ohio Wesleyan University,Delaware,OH,NCAA  III ,M,W,            -  ,            -  ,"44,090","44,090",,,,,75%
Tiffin University,Tiffin,OH,NCAA  II ,M,W,"     4,856","     5,656","23,125","23,125",,,,,93%
University of Akron,Akron,OH,NCAA  I,,W,"   17,282","   15,729","10,270","18,801",450,610,19,26,97%
University of Cincinnati,Cincinnati,OH,NCAA  I,M,W,"   16,373","   14,984","11,000","26,334",530,660,23,28,86%
University of Findlay,Findlay,OH,NCAA  II ,M,W,"     6,716","     6,314","32,402","32,402",470,480,20,25,76%
University of Mount Union,Alliance,OH,NCAA  III ,M,W,            -  ,            -  ,"29,120","29,120",440,590,21,26,75%
University of Toledo,Toledo,OH,NCAA  I,,W,"   22,280","   18,234","9,547","18,885",470,620,20,26,93%
Urbana University,Urbana,OH,NCAA  II ,M,W,"     9,397","     7,918","22,452","22,452",405,548,18,23,91%
Ursuline College,Pepper Pike,OH,NCAA  II ,,W,            -  ,"   12,937","29,940","29,940",440,535,19,24,88%
Wilmington College,Wilmington,OH,NCAA  III ,M,W,            -  ,            -  ,"25,000","25,000",430,530,19,22,93%
Wittenberg University,Springfield,OH,NCAA  III ,M,W,            -  ,            -  ,"38,090","38,090",,,,,77%
Wright State University,Dayton,OH,NCAA  I,M,W,"     9,719","   13,198","8,730","17,098",450,600,19,25,96%
Xavier University,Cincinnati,OH,NCAA  I,M,W,"   15,221","   21,364","36,150","36,150",490,590,22,27,72%
Youngstown State University,Youngstown,OH,NCAA  I,,W,"   12,406","   12,179","8,317","8,557",410,530,18,24,71%
Oklahoma Baptist University,Shawnee,OK,NCAA  II ,M,W,"   10,095","   10,061","25,310","25,310",440,560,20,25,61%
Oklahoma Christian University,Edmond,OK,NCAA  II ,M,W,"     7,630","   11,497","20,840","20,840",490,620,21,28,59%
St. Gregory's University,Shawnee,OK,NAIA  ,M,W,"     9,202","   10,688","21,300","21,300",,,,,61%
Lewis & Clark College,Portland,OR,NCAA  III ,M,W,            -  ,            -  ,"46,894","46,894",,,,,63%
Linfield College,McMinnville,OR,NCAA  III ,M,W,            -  ,            -  ,"40,175","40,175",480,580,20,26,84%
Oregon State University,Corvallis,OR,NCAA  I,,W,"   20,015","   20,985","10,366","28,846",490,630,21,28,78%
Pacific University,Forest Grove,OR,NCAA  III ,M,W,            -  ,            -  ,"41,054","41,054",500,600,21,26,79%
Willamette University,Salem,OR,NCAA  III ,M,W,            -  ,            -  ,"47,217","47,217",550,660,25,30,78%
Albright College,Reading,PA,NCAA  III ,M,W,            -  ,            -  ,"41,544","41,544",,,,,49%
Allegheny College,Meadville,PA,NCAA  III ,M,W,            -  ,            -  ,"44,250","44,250",,,,,68%
Arcadia University,Glenside,PA,NCAA  III ,M,W,            -  ,            -  ,"40,920","40,920",498,600,22,27,59%
Bloomsburg University ,Bloomsburg,PA,NCAA  II ,M,W,"     1,467","     1,066","10,154","21,246",440,540,18,23,88%
Bryn Mawr College,Bryn Mawr ,PA,NCAA III,,W,            -  ,            -  ,"48,790","48,790",620,730,28,32,39%
Bucknell University,Lewisburg,PA,NCAA  I,M,W,"   15,843","   13,910","51,960","51,960",620,710,28,32,25%
Cabrini University,Radnor,PA,NCAA  III ,M,W,            -  ,            -  ,"30,588","30,588",,,,,72%
California University of Pennsylvania,California,PA,NCAA  II ,,W,"     4,327","     6,265","10,339","14,673",410,510,17,22,85%
Carnegie Mellon University,Pittsburgh,PA,NCAA  III ,M,W,            -  ,            -  ,"52,310","52,310",710,800,31,34,24%
Cedar Crest College,Allentown,PA,NCAA  III ,,W,            -  ,            -  ,"36,825","36,825",410,530,19,26,67%
Chatham University,Pittsburgh,PA,NCAA  III ,M,W,            -  ,            -  ,"35,475","35,475",,,,,55%
Clarion University ,Clarion,PA,NCAA  II ,M,W,"     2,706","     3,265","10,287","14,764",420,510,17,22,96%
Dickinson College,Carlisle,PA,NCAA  III ,M,W,            -  ,            -  ,"51,205","51,205",,,,,47%
Drexel University,Philadelphia,PA,NCAA  I,M,W,"   16,542","   18,929","51,030","51,030",565,680,25,30,75%
Duquesne University,Pittsburgh,PA,NCAA  I,,W,"   18,581","   17,347","35,062","35,062",520,610,23,28,76%
East Stroudsburg University ,East Stroudsburg,PA,NCAA  II ,,W,"     2,154","     1,749","9,968","21,110",420,520,18,24,84%
Edinboro University ,Edinboro,PA,NCAA  II ,M,W,"     3,070","     3,428","10,074","10,640",420,520,17,23,96%
Elizabethtown College,Elizabethtown,PA,NCAA  III ,M,W,            -  ,            -  ,"43,490","43,490",500,620,23,28,71%
Franklin & Marshall College,Lancaster,PA,NCAA  III ,M,W,            -  ,            -  ,"52,290","52,290",,,,,32%
Gannon University,Erie,PA,NCAA  II ,M,W,"     8,697","     8,145","30,042","30,042",463,570,20,25,76%
Gettysburg College,Gettysburg,PA,NCAA  III ,M,W,            -  ,            -  ,"50,860","50,860",,,,,40%
Grove City College,Grove City,PA,NCAA III,M,W,            -  ,            -  ,"16,630","16,630",540,654,24,29,81%
Indiana University of Pennsylvania,Indiana,PA,NCAA  II ,M,W,"     5,130","     2,842","11,368","22,377",430,530,17,22,88%
Juniata College,Huntingdon,PA,NCAA  III ,,W,            -  ,            -  ,"42,170","42,170",,,,,77%
King's College,Wilkes-Barre,PA,NCAA  III ,M,W,            -  ,            -  ,"34,720","34,720",,,,,72%
Kutztown University ,Kutztown,PA,NCAA  II ,,W,"     1,431","     1,540","9,618","20,710",430,520,17,22,82%
La Salle University,Philadelphia,PA,NCAA  I,M,W,"   14,981","   16,021","41,100","41,100",450,550,18,23,75%
Lafayette College,Easton,PA,NCAA  I,M,W,"   16,560","   14,663","49,635","49,635",620,710,27,31,30%
Lebanon Valley College,Annville,PA,NCAA  III ,M,W,            -  ,            -  ,"40,550","40,550",,,,,72%
Lehigh University,Bethlehem,PA,NCAA  I,M,W,"   16,264","   20,543","48,320","48,320",640,740,29,32,30%
