Swimming teams  2017:,City,State,Division,Teams,Men,Women,In-State,Out of State,25%,75%,25%,75%,Rate,
Colorado Mesa University,Grand Junction,CO,NCAA  II ,M,W,"     3,041","     3,967","7,835","18,996",430,540,17,23,83%
Colorado School of Mines,Golden,CO,NCAA  II ,M,W,"     5,429","     6,101","17,842","36,172",650,730,28,32,38%
Colorado State University,Fort Collins,CO,NCAA  I,,W,"   24,480","   21,914","11,052","28,346",520,630,22,28,81%
Colorado State University-Pueblo,Pueblo,CO,NCAA  II ,,W,"     3,697","     5,094","9,519","24,101",430,545,18,23,96%
U.S. Air Force Academy,Colorado Springs,CO,NCAA  I,M,W, full ride! , full ride! ,-0-,-0-,630,710,29,32,17%
University of Denver,Denver,CO,NCAA  I,M,W,"   25,178","   33,348","46,422","46,422",560,660,26,30,73%
University of Northern Colorado,Greeley,CO,NCAA  I,,W,"   10,307","   13,898","8,888","20,474",450,580,19,25,89%
Western State Colorado University,Gunnison,CO,NCAA  II ,,W,"     4,035","     3,871","9,193","20,497",450,560,17,23,98%
Central Connecticut State University,New Britain,CT,NCAA  I,,W,"   10,395","   13,149","9,741","22,602",460,550,20,24,59%
Connecticut College,New London,CT,NCAA  III ,M,W,            -  ,            -  ,"50,940","50,940",,,,,40%
Eastern Connecticut State University,Willimantic,CT,NCAA  III ,,W,            -  ,            -  ,"10,500","23,361",,,,,64%
Fairfield University,Fairfield,CT,NCAA  I,M,W,"   13,864","   15,450","46,000","46,000",,,,,65%
Sacred Heart University,Fairfield,CT,NCAA  I,,W,"   12,189","   10,023","38,300","38,300",,,,,59%
Southern Connecticut State University,New Haven,CT,NCAA  II ,M,W,"     3,689","     3,623","10,054","22,915",410,500,18,22,65%
Trinity College,Hartford,CT,NCAA  III ,M,W,            -  ,            -  ,"52,760","52,760",,,,,33%
U.S. Coast Guard Academy,New London,CT,NCAA III,M,W, full ride! , full ride! ,-0-,-0-,610,690,26,31,18%
University of Bridgeport,Bridgeport,CT,NCAA  II ,M,W,"   14,800","   17,149","31,630","31,630",420,500,18,23,52%
University of Connecticut,Storrs,CT,NCAA  I,M,W,"   25,768","   23,790","14,066","35,858",580,690,26,31,53%
University of Saint Joseph,West Hartford,CT,NCAA  III ,,W,            -  ,            -  ,"36,870","36,870",410,520,16,22,93%
Wesleyan University,Middletown,CT,NCAA  III ,M,W,            -  ,            -  ,"50,912","50,912",,,,,22%
Western Connecticut State University,Danbury,CT,NCAA  III ,,W,            -  ,            -  ,"10,017","22,878",,,,,57%
Yale University,New Haven,CT,NCAA  I,M,W,            -  ,            -  ,"49,480","49,480",710,800,31,35,7%
American University,Washington,DC,NCAA  I,M,W,"   20,666","   23,389","44,853","44,853",560,650,26,30,35%
Catholic University of America,Washington,DC,NCAA  III ,M,W,            -  ,            -  ,"42,536","42,536",,,,,79%
Gallaudet University,Washington,DC,NCAA  III ,M,W,            -  ,            -  ,"16,078","16,078",385,508,16,21,62%
George Washington University,Washington,DC,NCAA  I,M,W,"   18,606","   24,898","51,950","51,950",600,700,27,31,46%
Georgetown University,Washington,DC,NCAA  I,M,W,"   10,488","   17,389","50,547","50,547",660,750,30,34,17%
Howard University,Washington,DC,NCAA  I,M,W,"   17,166","   17,960","24,908","24,908",490,610,21,27,49%
University of Delaware,Newark,DE,NCAA  I,M,W,"   21,466","   15,575","12,830","32,250",550,660,24,29,67%
Florida Atlantic University,Boca Raton,FL,NCAA  I,M,W,"     8,004","   10,011","4,831","17,276",470,570,20,25,68%
Florida Gulf Coast University,Fort Myers,FL,NCAA  I,,W,"   11,248","   14,549","6,118","25,162",480,570,22,26,61%
Florida Institute of Technology,Melbourne,FL,NCAA  II ,M,W,"   11,142","   14,766","40,446","40,446",560,670,24,29,57%
Florida International University,Miami,FL,NCAA  I,,W,"   15,498","   17,484","6,556","18,954",490,580,22,26,50%
Florida Southern College,Lakeland,FL,NCAA  II ,M,W,"   10,662","   12,378","33,150","33,150",530,610,24,29,45%
Florida State University,Tallahassee,FL,NCAA  I,M,W,"   19,886","   18,681","6,507","21,673",560,640,25,29,56%
Keiser University,Fort Lauderdale,FL,NAIA  ,M,W,"     7,079","     8,897","18,368","18,368",,,,,-
Lynn University,Boca Raton,FL,NCAA  II ,,W,"   11,474","   17,216","36,650","36,650",445,550,19,24,76%
Nova Southeastern University,Fort Lauderdale,FL,NCAA  II ,M,W,"   14,059","   15,991","28,736","28,736",490,620,22,29,59%
Rollins College,Winter Park,FL,NCAA  II ,M,W,"     8,036","   11,024","46,520","46,520",,,,,60%
Saint Leo University,Saint Leo,FL,NCAA  II ,M,W,"     7,926","   10,005","21,440","21,440",,,,,73%
University of Florida,Gainesville,FL,NCAA  I,M,W,"   19,886","   24,109","6,381","28,659",590,680,27,31,48%
University of Miami,Coral Gables,FL,NCAA  I,M,W,"   40,745","   35,924","47,004","47,004",610,700,28,32,38%
University of North Florida,Jacksonville,FL,NCAA  I,,W,"   10,137","   10,468","6,394","20,798",530,610,22,27,57%
University of Tampa,Tampa,FL,NCAA  II ,M,W,"     5,455","     6,073","27,740","27,740",500,590,22,26,51%
University of West Florida,Pensacola,FL,NCAA  II ,,W,"     6,624","     9,450","6,360","19,241",460,550,20,26,42%
Berry College,Mount Berry,GA,NCAA  III ,M,W,            -  ,            -  ,"33,556","33,556",520,610,24,29,55%
Brenau University,Gainesville,GA,NAIA  ,,W,            -  ,"   13,116","27,152","27,152",440,530,19,23,66%
Emmanuel College,Franklin Springs,GA,NCAA  II ,M,W,"     5,710","     8,204","19,330","19,330",400,530,,,34%
Emory University,Atlanta,GA,NCAA  III ,M,W,            -  ,            -  ,"47,954","47,954",650,770,29,33,24%
Georgia Institute of Technology,Atlanta,GA,NCAA  I,M,W,"   24,063","   26,745","12,212","32,404",680,770,30,33,32%
Georgia Southern University,Statesboro,GA,NCAA  I,,W,"   12,858","   11,904","6,273","16,847",510,590,21,25,60%
LaGrange College,Lagrange,GA,NCAA  III ,M,W,            -  ,            -  ,"28,490","28,490",440,550,20,24,57%
Life University,Marietta,GA,NAIA  ,M,W,"     7,218","     4,959","11,220","11,220",,,,,59%
Point University,West Point,GA,NAIA  ,M,W,"     8,110","     9,978","19,200","19,200",410,500,17,21,49%
Savannah College of Art and Design,Savannah,GA,NAIA  ,M,W,"   16,793","   11,016","35,690","35,690",460,580,20,26,70%
Thomas University,Thomasville,GA,NAIA  ,M,W,"     9,123","   10,584","16,940","16,940",,,,,43%
University of Georgia,Athens,GA,NCAA  I,M,W,"   21,062","   21,859","11,634","29,844",580,670,26,30,53%
University of Hawaii at Manoa,Honolulu,HI,NCAA  I,M,W,"   21,619","   20,192","11,732","33,764",490,610,20,25,81%
Coe College,Cedar Rapids,IA,NCAA  III ,M,W,            -  ,            -  ,"41,000","41,000",495,640,22,27,63%
Grinnell College,Grinnell,IA,NCAA  III ,M,W,            -  ,            -  ,"48,758","48,758",660,770,30,33,25%
Iowa State University,Ames,IA,NCAA  I,,W,"   18,699","   17,871","8,219","21,583",500,640,22,28,87%
Loras College,Dubuque,IA,NCAA  III ,M,W,            -  ,            -  ,"31,525","31,525",460,570,21,26,95%
Luther College,Decorah,IA,NCAA  III ,M,W,            -  ,            -  ,"40,040","40,040",475,640,23,29,67%
Morningside College,Sioux City,IA,NAIA  ,M,W,"     4,811","     4,596","29,094","29,094",,,20,26,56%
Saint Ambrose University,Davenport,IA,NAIA  ,M,W,"     4,217","     2,860","29,150","29,150",,,20,25,73%
Simpson College,Indianola,IA,NCAA  III ,M,W,            -  ,            -  ,"35,876","35,876",495,610,21,27,89%
University of Iowa,Iowa City,IA,NCAA  I,M,W,"   17,186","   16,020","8,575","28,813",540,690,23,28,81%
University of Northern Iowa,Cedar Falls,IA,NCAA  I,,W,"     9,737","     9,423","8,309","18,851",470,610,20,25,80%
Boise State University,Boise,ID,NCAA  I,,W,"   11,823","   12,215","7,080","21,530",460,570,20,26,80%
College of Idaho,Caldwell,ID,NAIA  ,M,W,"     3,993","     4,872","27,425","27,425",,,,,90%
University of Idaho,Moscow,ID,NCAA  I,,W,"   20,253","   18,320","7,232","22,040",470,580,20,26,72%
Augustana College,Rock Island,IL,NCAA  III ,M,W,            -  ,            -  ,"39,621","39,621",,,,,49%
Eastern Illinois University,Charleston,IL,NCAA  I,M,W,"     7,619","     7,977","11,580","13,740",,,19,24,50%
Illinois College,Jacksonville,IL,NCAA  III ,M,W,            -  ,            -  ,"31,610","31,610",,,,,61%
Illinois Institute of Technology,Chicago,IL,NCAA  III ,M,W,            -  ,            -  ,"45,214","45,214",630,730,25,30,53%
Illinois State University,Normal,IL,NCAA  I,,W,"   12,964","   13,856","14,061","25,168",,,21,26,88%
Illinois Wesleyan University,Bloomington,IL,NCAA  III ,M,W,            -  ,            -  ,"44,142","44,142",640,730,25,30,62%
Knox College,Galesburg,IL,NCAA  III ,M,W,            -  ,            -  ,"43,285","43,285",,,,,64%
Lake Forest College,Lake Forest,IL,NCAA  III ,M,W,            -  ,            -  ,"44,116","44,116",,,,,55%
Lewis University,Romeoville,IL,NCAA  II ,M,W,"     9,108","   10,879","30,050","30,050",500,600,20,25,62%
Lindenwood University - Belleville,Belleville,IL,NAIA  ,M,W,"     3,506","     5,108","16,332","16,332",460,560,20,25,55%
McKendree University,Lebanon,IL,NCAA  II ,M,W,"     7,045","     8,768","28,740","28,740",420,530,19,24,63%
Millikin University,Decatur,IL,NCAA  III ,M,W,            -  ,            -  ,"31,824","31,824",460,590,20,26,60%
Monmouth College,Monmouth,IL,NCAA  III ,M,W,            -  ,            -  ,"35,300","35,300",,,20,26,62%
North Central College,Naperville,IL,NCAA  III ,M,W,            -  ,            -  ,"36,654","36,654",,,22,27,57%
Northwestern University,Evanston,IL,NCAA  I,M,W,"   43,454","   32,657","50,855","50,855",710,800,31,34,13%
Olivet Nazarene University,Bourbonnais,IL,NAIA  ,M,W,"     8,120","     7,140","33,940","33,940",470,570,20,27,77%
Principia College,Elsah,IL,NCAA III,M,W,            -  ,            -  ,"27,980","27,980",470,608,21,27,75%
Southern Illinois University,Carbondale,IL,NCAA  I,M,W,"   15,596","   16,897","13,481","27,130",470,600,19,25,81%
University of Chicago,Chicago,IL,NCAA  III ,M,W,            -  ,            -  ,"53,649","53,649",720,800,32,35,8%
University of Illinois ,Champaign,IL,NCAA  I,,W,"   25,346","   25,292","15,058","30,680",700,790,26,31,66%
University of Illinois at Chicago,Chicago,IL,NCAA  I,M,W,"   11,787","   17,911","13,664","26,520",520,670,21,26,77%
Western Illinois University,Macomb,IL,NCAA  I,M,W,"     8,742","   11,462","12,655","16,926",,,18,23,60%
Wheaton College,Wheaton,IL,NCAA  III ,M,W,            -  ,            -  ,"34,050","34,050",600,700,27,32,71%
Anderson University,Anderson,IN,NCAA  III ,M,W,,            -  ,"28,650","28,650",470,570,21,25,60%
Ball State University,Muncie,IN,NCAA  I,M,W,"   18,257","   17,653","9,654","25,428",500,590,20,24,61%
Butler University,Indianapolis,IN,NCAA  I,,W,"   10,039","   15,373","38,360","38,360",530,630,25,30,70%
DePauw University,Greencastle,IN,NCAA  III ,M,W,            -  ,            -  ,"46,448","46,448",550,670,25,29,65%
Franklin College,Franklin,IN,NCAA  III ,M,W,            -  ,            -  ,"30,025","30,025",450,540,19,24,70%
Indiana State University,Terre Haute,IN,NCAA  I,,W,"   16,184","   11,430","8,746","19,076",400,510,16,22,85%
Indiana University,Bloomington,IN,NCAA  I,M,W,"   21,869","   20,565","10,388","34,246",540,660,24,30,78%
Indiana Wesleyan University,Marion,IN,NAIA  ,,W,"     5,913","     6,105","25,346","25,346",470,600,21,27,95%
Indiana-Purdue University-Indianapolis,Indianapolis,IN,NCAA  I,M,W,"     8,120","   11,618","9,205","29,791",450,560,19,25,70%
Manchester University,North Manchester,IN,NCAA  III ,M,W,            -  ,            -  ,"30,802","30,802",440,568,19,26,71%
Purdue University,West Lafayette,IN,NCAA  I,M,W,"   22,724","   19,357","10,002","28,804",560,700,25,31,59%
Rose-Hulman Institute of Technology,Terre Haute,IN,NCAA  III ,M,W,            -  ,            -  ,"46,210","46,210",630,750,28,32,58%
University of Evansville,Evansville,IN,NCAA  I,M,W,"   16,746","   23,590","33,966","33,966",510,630,23,29,70%
University of Indianapolis,Indianapolis,IN,NCAA  II ,M,W,"     9,291","   11,101","27,420","27,420",460,560,20,25,73%
University of Notre Dame,Notre Dame,IN,NCAA  I,M,W,"   32,342","   30,068","49,685","49,685",680,770,32,34,20%
Valparaiso University,Valparaiso,IN,NCAA  I,M,W,"     8,127","   16,723","37,450","37,450",510,630,23,29,82%
Wabash College,Crawfordsville,IN,NCAA III,M,,            -  ,            -  ,"41,050","41,050",530,640,22,28,61%
Tabor College,Hillsboro,KS,NAIA  ,M,W,"     7,087","     5,518","26,590","26,590",430,550,19,25,55%
University of Kansas,Lawrence,KS,NCAA  I,,W,"   29,342","   20,003","11,455","28,239",,,22,28,93%
Asbury University,Wilmore,KY,NAIA  ,M,W,         623,         827,"28,630","28,630",470,605,21,27,57%
Bellarmine University,Louisville,KY,NCAA  II ,M,W,"     7,282","     7,414","39,750","39,750",500,610,22,27,84%
Campbellsville University,Campbellsville,KY,NAIA  ,M,W,         484,         609,"24,596","24,596",420,550,18,24,76%
Centre College,Danville,KY,NCAA  III ,M,W,            -  ,            -  ,"39,300","39,300",570,740,26,31,71%
Lindsey Wilson College,Columbia,KY,NAIA  ,M,W,"     8,029","   10,870","23,762","23,762",,,,,
Transylvania University,Lexington,KY,NCAA  III ,M,W,            -  ,            -  ,"35,830","35,830",,,,,93%
Union College,Barbourville,KY,NAIA  ,M,W,"     7,724","     7,770","25,135","25,135",453,553,18,23,69%
University of Kentucky,Lexington,KY,NCAA  I,M,W,"   22,374","   26,251","11,484","26,334",510,630,22,28,89%
University of Louisville,Louisville,KY,NCAA  I,M,W,"   20,231","   18,287","11,264","26,286",510,620,22,29,72%
University of the Cumberlands,Williamsburg,KY,NAIA  ,M,W,"     6,145","     7,386","23,000","23,000",450,550,19,25,68%
Centenary College of Louisiana,Shreveport,LA,NCAA  III ,M,W,            -  ,            -  ,"35,430","35,430",490,610,21,28,67%
Louisiana State University ,Baton Rouge,LA,NCAA  I,M,W,"   32,146","   28,331","10,814","27,491",510,640,23,28,77%
Loyola University New Orleans,New Orleans,LA,NAIA  ,M,W,"     9,087","   13,421","38,754","38,754",480,610,22,28,90%
Tulane University of Louisiana,New Orleans,LA,NCAA  I,,W,"   43,523","   39,635","51,010","51,010",620,700,29,32,30%
Amherst College,Amherst,MA,NCAA  III ,M,W,            -  ,            -  ,"52,476","52,476",680,780,31,34,14%
Assumption College,Worcester,MA,NCAA  II ,,W,"     4,538","     4,311","36,260","36,260",,,,,76%
Babson College,Wellesley,MA,NCAA  III ,M,W,            -  ,            -  ,"48,288","48,288",620,720,27,30,26%
Bentley University,Waltham,MA,NCAA  II ,M,W,"     5,907","     6,459","45,760","45,760",600,690,26,30,42%
Boston College,Chestnut Hill,MA,NCAA  I,M,W,"   29,467","   23,599","51,296","51,296",640,750,30,33,29%
Boston University,Boston,MA,NCAA  I,M,W,"   23,713","   27,792","50,240","50,240",620,730,27,31,33%
Brandeis University,Waltham,MA,NCAA  III ,M,W,            -  ,            -  ,"51,245","51,245",650,770,29,32,34%
Bridgewater State University,Bridgewater,MA,NCAA  III ,M,W,            -  ,            -  ,"9,603","15,743",450,550,19,24,81%
Clark University,Worcester,MA,NCAA  III ,M,W,            -  ,            -  ,"43,150","43,150",,,,,55%
Elms College,Chicopee,MA,NCAA  III ,M,W,            -  ,            -  ,"33,412","33,412",430,540,19,24,75%
Gordon College,Wenham,MA,NCAA  III ,M,W,            -  ,            -  ,"36,060","36,060",470,610,23,29,93%
Harvard University,Cambridge,MA,NCAA  I,M,W,            -  ,            -  ,"47,074","47,074",700,800,32,35,6%
Holy Cross,Worcester,MA,NCAA  I,M,W,"   15,535","   12,056","48,940","48,940",,,,,37%
Massachusetts Institute of Technology,Cambridge,MA,NCAA  III ,M,W,            -  ,            -  ,"48,452","48,452",750,800,33,35,8%
Merrimack College,North Andover,MA,NCAA  II ,,W,"   14,010","   12,165","38,825","38,825",,,,,79%
Mount Holyoke College,South Hadley,MA,NCAA III,,W,            -  ,            -  ,"45,866","45,866",,,,,50%
Northeastern University,Boston,MA,NCAA  I,,W,"   28,493","   30,153","47,653","47,653",680,770,31,34,28%
Regis College,Weston,MA,NCAA  III ,M,W,            -  ,            -  ,"39,040","39,040",,,,,84%
Simmons College,Boston,MA,NCAA III,,W,            -  ,            -  ,"38,590","38,590",520,610,24,29,58%
Smith College,Northampton,MA,NCAA III,,W,            -  ,            -  ,"47,904","47,904",,,,,38%
Springfield College,Springfield,MA,NCAA  III ,M,W,            -  ,            -  ,"35,475","35,475",470,580,20,26,64%
Tufts University,Medford,MA,NCAA  III ,M,W,            -  ,            -  ,"52,430","52,430",690,770,30,33,16%
Univ of Massachusetts-Dartmouth,North Dartmouth,MA,NCAA  III ,M,W,            -  ,            -  ,"13,188","27,473",470,570,19,25,76%
University of Massachusetts,Amherst,MA,NCAA  I,M,W,"   19,489","   19,405","14,971","32,204",580,670,25,30,58%
Wellesley College,Wellesley ,MA,NCAA III,,W,            -  ,            -  ,"48,802","48,802",650,750,27,33,30%
Western New England University,Springfield,MA,NCAA  III ,,W,            -  ,            -  ,"34,874","34,874",490,610,22,27,81%
Westfield State University,Westfield,MA,NCAA  III ,,W,            -  ,            -  ,"9,275","15,355",460,550,19,24,80%
Wheaton College,Norton,MA,NCAA  III ,M,W,            -  ,            -  ,"49,012","49,012",,,,,65%
Williams College,Williamstown,MA,NCAA  III ,M,W,            -  ,            -  ,"51,790","51,790",660,770,31,34,18%
Worcester Polytechnic Institute,Worcester,MA,NCAA  III ,M,W,            -  ,            -  ,"46,994","46,994",,,,,49%
Frostburg State University,Frostburg,MD,NCAA  III ,M,W,            -  ,            -  ,"8,702","21,226",430,530,17,22,63%
Goucher College,Baltimore,MD,NCAA  III ,M,W,            -  ,            -  ,"43,416","43,416",,,,,77%
Hood College,Frederick,MD,NCAA  III ,M,W,            -  ,            -  ,"36,540","36,540",,,,,79%
Johns Hopkins University,Baltimore,MD,NCAA  III ,M,W,            -  ,            -  ,"50,410","50,410",690,780,32,34,14%
Loyola University Maryland,Baltimore,MD,NCAA  I,M,W,"   14,198","   15,610","46,430","46,430",,,,,61%
McDaniel College,Westminster,MD,NCAA  III ,M,W,            -  ,            -  ,"40,580","40,580",480,590,20,27,80%
